Index,tracks,Timestamp,X,Y,Z,Speed_X,Speed_Y,Speed_Z,Speed,Year,Month,Day,Hour,Min,Sec
553741,8,1579018534.50103,-1917.36340879998,148.547218609601,-399.215441200524,NaN,7.86358483233352,NaN,7.86358483233352,2020,1,14,16,15,34.501026042
553745,8,1579018535.08352,-1920.09948423004,146.106689339504,-405.122972244332,-1.18362597593323,7.54167956950204,18.2949808499594,19.8238297379777,2020,1,14,16,15,35.083523438
553750,8,1579018535.66709,-1917.60073429998,149.289509070106,-398.535193861106,NaN,7.35369689081932,25.8507837572128,26.876381430993,2020,1,14,16,15,35.667088542
553754,8,1579018536.23921,-1927.48561869003,140.611979889683,-419.185493021507,-12.2004735907532,2.33538932874814,19.623233183117,23.224488793394,2020,1,14,16,15,36.239208333
553757,8,1579018537.23213,-1940.87466015003,152.103936409578,-413.479286555288,-19.8065171162898,5.50854442983102,1.23317589864478,20.5952155805736,2020,1,14,16,15,37.232130208
553762,8,1579018537.75797,-1934.65801173996,161.16664709989,-385.233057233547,-22.389628864796,40.6565621935265,-1.12826579098932,NaN,2020,1,14,16,15,37.75796875
553764,8,1579018545.45503,-1934.02637614997,169.223161229864,-389.466927530342,-0.849552878440963,2.15729868252698,-1.38150879150917,2.69893390803056,2020,1,14,16,15,45.455028646
553769,8,1579018546.90874,-1931.02520098002,161.328857029788,-369.134725619397,-2.17686577898686,NaN,-5.73394564234602,6.13325992023027,2020,1,14,16,15,46.908742187
553775,8,1579018547.76341,-1935.78444932995,170.293093759567,-391.59078640753,-13.0927334676737,NaN,-31.4733936447495,34.0880356895627,2020,1,14,16,15,47.763408854
553777,8,1579018548.22318,-1941.02839664998,173.488104029559,-409.753802563123,-20.5300604881965,NaN,NaN,20.5300604881965,2020,1,14,16,15,48.223182292
553782,8,1579018549.56181,-1945.99930432998,170.121640519239,-418.014741756309,-6.89089576100976,NaN,13.444195510386,15.1073107239702,2020,1,14,16,15,49.5618125
553844,8,1579018572.42415,-1976.71743998001,135.682256049477,-430.34071034756,-2.42010735245425,-2.00643958335039,NaN,3.14367927738159,2020,1,14,16,16,12.424145832
553846,8,1579018573.00231,-1971.76690613001,134.087176169269,-414.381252942373,NaN,NaN,NaN,NaN,2020,1,14,16,16,13.002307292
553864,8,1579018576.95985,-1983.43817166006,117.716732559726,-423.633715323188,-2.73049427822494,-8.17122303085606,NaN,8.6153633018818,2020,1,14,16,16,16.959854167
553866,8,1579018577.40196,-1977.77026192006,115.336856800131,-403.481062715327,-4.69632633977065,NaN,NaN,NaN,2020,1,14,16,16,17.401955729
553869,8,1579018578.27829,-1977.87093553995,108.76128254924,-384.57901655026,-11.6420023668056,-18.3946772267909,26.809383013412,34.5346693475753,2020,1,14,16,16,18.278291667
553962,8,1579018618.69035,-2011.77041619003,97.6789073497057,-396.318957668108,-1.47716855298,-0.665465691020559,NaN,1.62014552427814,2020,1,14,16,16,58.690351563
553965,8,1579018619.10365,-2011.30849087995,100.396390439942,-396.701652398786,NaN,NaN,NaN,NaN,2020,1,14,16,16,59.103653646
553974,8,1579018621.34118,-2011.03506011004,97.7980345496908,-386.291917140565,NaN,NaN,5.76161621296506,5.76161621296506,2020,1,14,16,17,1.341177083
553978,8,1579018622.67415,-2020.43007543997,88.615965379402,-395.531889956474,NaN,NaN,1.57960985460262,1.57960985460262,2020,1,14,16,17,2.674145833
553979,8,1579018623.0959,-2025.97420249996,81.8718890994787,-403.526209935807,NaN,NaN,29.6562860328803,29.6562860328803,2020,1,14,16,17,3.095898438
553985,8,1579018627.63754,-2018.85000456998,112.643487719819,-410.066407698134,-0.135438956855978,1.53864446333978,NaN,1.54459395816519,2020,1,14,16,17,7.637539063
553992,8,1579018630.58774,-2001.59169633,123.137760059908,-361.153122716848,0.208499431469985,10.1028730529544,4.8302238924983,11.2001151239037,2020,1,14,16,17,10.587742188
553996,8,1579018631.48351,-2006.86200772005,132.861197349615,-387.61515341944,2.51230623554724,20.5728074476505,6.18588680988929,21.6290842275866,2020,1,14,16,17,11.483505208
553997,8,1579018631.9236,-2010.05824158003,125.639638669789,-389.370323962162,-1.39770290691478,NaN,14.8424880410157,14.9081529594948,2020,1,14,16,17,11.923601563
554000,8,1579018632.77228,-2011.37679065997,116.954998489469,-382.663011759103,NaN,NaN,20.9630831330795,20.9630831330795,2020,1,14,16,17,12.772283854
554009,8,1579018635.77707,-2007.92393682001,125.732683530077,-373.679747783676,NaN,NaN,5.37214894605239,5.37214894605239,2020,1,14,16,17,15.777067708
554011,8,1579018636.2737,-2009.64947906998,122.881546179764,-373.695134095127,NaN,NaN,14.6845358300648,14.6845358300648,2020,1,14,16,17,16.273695312
554019,8,1579018639.70206,-2030.14481455996,106.410117819905,-371.541704751545,-5.71680043392529,-8.64803322125634,NaN,10.3667876315318,2020,1,14,16,17,19.702057292
554023,8,1579018640.38423,-2020.94671371998,99.0883732093498,-377.731292419652,-44.0827992440742,-43.9398650252833,5.68212220665616,NaN,2020,1,14,16,17,20.384231771
